BRAZIL, Home, GERMANY, Home, FRANCE, Home, ARGENTINA, Home, HOLLAND, Home, Stage, Overtime
0,      0,    0,       0,    0,      0,    1,         0,    1,       0,    0.5,   1
1,      1,    0,       0,    0,      0,    0,         0,    1,       0,    1,     1
1,      0,    0,       0,    0,      0,    0,         0,    1,       0,    0.25,  0
0,      0,    0,       0,    0,      0,    1,         0,    1,       0,    0.25,  0
1,      0,    0,       0,    0,      0,    0,         0,    1,       0,    0.5,   1
1,      0,    0,       0,    0,      0,    0,         0,    1,       0,    0.25,  0
0,      0,    1,       0,    0,      0,    0,         0,    1,       0,    0.125, 0
0,      0,    0,       0,    0,      0,    1,         1,    1,       0,    1,     1
0,      0,    1,       1,    0,      0,    0,         0,    1,       0,    1,     0
1,      0,    0,       0,    1,      0,    0,         0,    0,       0,    0.25,  1
0,      0,    1,       0,    1,      0,    0,         0,    0,       0,    0.5,   0
0,      0,    1,       0,    0,      0,    1,         0,    0,       0,    1,     0
0,      0,    1,       0,    1,      0,    0,         0,    0,       0,    0.5,   1
1,      0,    0,       0,    1,      0,    0,         0,    0,       0,    0.5,   0
0,      0,    0,       0,    1,      0,    1,         0,    0,       0,    0.125, 0
0,      0,    1,       0,    1,      0,    0,         0,    0,       0,    0.25,  0
1,      1,    1,       0,    0,      0,    0,         0,    0,       0,    0.25,  0
0,      0,    1,       0,    0,      0,    1,         0,    0,       0,    1,     1
0,      0,    1,       0,    0,      0,    1,         0,    0,       0,    0.25,  0
0,      0,    1,       1,    0,      0,    1,         0,    0,       0,    0.25,  1
1,      0,    0,       0,    1,      0,    0,         0,    0,       0,    0.25,  0
1,      0,    1,       0,    0,      0,    0,         0,    0,       0,    1,     0
1,      0,    0,       0,    1,      1,    0,         0,    0,       0,    1,     0
1,      0,    0,       0,    0,      0,    1,         0,    0,       0,    0.125, 0
0,      0,    1,       0,    0,      0,    1,         0,    0,       0,    1,     0